[rosmaster.main][INFO] 2026-04-09 01:45:37,337: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-04-09 01:45:37,337: Starting ROS Master Node
[rosmaster.master][INFO] 2026-04-09 01:45:46,002: +PUB [/initialpose] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:46,002: +PUB [/goal] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:46,002: +PUB [/move_base_simple/goal] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:46,002: -PUB [/goal] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:46,002: +PUB [/clicked_point] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:46,022: +SERVICE [/rviz_1775670345567972288/reload_shaders] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:46,025: +SERVICE [/rviz_1775670345567972288/load_config] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:46,025: +SERVICE [/rviz_1775670345567972288/load_config_discarding_changes] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:46,026: +SERVICE [/rviz_1775670345567972288/save_config] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:47,434: +PARAM [/kitti_pointpillars_bag_detector_12943_1775670347299/seq] by /kitti_pointpillars_bag_detector_12943_1775670347299
[rosmaster.master][INFO] 2026-04-09 01:45:47,436: +PUB [/rosout] /kitti_pointpillars_bag_detector_12943_1775670347299 http://z790m:36507/
[rosmaster.master][INFO] 2026-04-09 01:45:47,439: +SERVICE [/kitti_pointpillars_bag_detector_12943_1775670347299/get_loggers] /kitti_pointpillars_bag_detector_12943_1775670347299 http://z790m:36507/
[rosmaster.master][INFO] 2026-04-09 01:45:47,440: +SERVICE [/kitti_pointpillars_bag_detector_12943_1775670347299/set_logger_level] /kitti_pointpillars_bag_detector_12943_1775670347299 http://z790m:36507/
[rosmaster.master][INFO] 2026-04-09 01:45:47,452: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/', 'http://z790m:35549/', 'http://z790m:36507/']
[rosmaster.master][INFO] 2026-04-09 01:45:47,455: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/', 'http://z790m:35549/', 'http://z790m:36507/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:45:47,480: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_12943_1775670347299
[rosmaster.master][INFO] 2026-04-09 01:45:47,482: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_12943_1775670347299
[rosmaster.master][INFO] 2026-04-09 01:45:48,777: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_12943_1775670347299
[rosmaster.master][INFO] 2026-04-09 01:45:48,777: +PUB [/detection/bboxes_3d] /kitti_pointpillars_bag_detector_12943_1775670347299 http://z790m:36507/
[rosmaster.master][INFO] 2026-04-09 01:45:48,777: +PUB [/detection/status] /kitti_pointpillars_bag_detector_12943_1775670347299 http://z790m:36507/
[rosmaster.master][INFO] 2026-04-09 01:45:48,778: +PUB [/detection/kitti_tracking] /kitti_pointpillars_bag_detector_12943_1775670347299 http://z790m:36507/
[rosmaster.master][INFO] 2026-04-09 01:45:48,778: +PUB [/detection/lidar_tracking] /kitti_pointpillars_bag_detector_12943_1775670347299 http://z790m:36507/
[rosmaster.master][INFO] 2026-04-09 01:45:48,778: +PUB [/detection/lidar_detections] /kitti_pointpillars_bag_detector_12943_1775670347299 http://z790m:36507/
[rosmaster.master][INFO] 2026-04-09 01:45:48,778: +PUB [/detection/pointcloud] /kitti_pointpillars_bag_detector_12943_1775670347299 http://z790m:36507/
[rosmaster.master][INFO] 2026-04-09 01:45:48,778: +PUB [/detection/imu] /kitti_pointpillars_bag_detector_12943_1775670347299 http://z790m:36507/
[rosmaster.master][INFO] 2026-04-09 01:45:48,779: +SUB [/kitti/velo/pointcloud] /kitti_pointpillars_bag_detector_12943_1775670347299 http://z790m:36507/
[rosmaster.master][INFO] 2026-04-09 01:45:48,779: +SUB [/kitti/oxts/imu] /kitti_pointpillars_bag_detector_12943_1775670347299 http://z790m:36507/
[rosmaster.master][INFO] 2026-04-09 01:45:48,779: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_12943_1775670347299
[rosmaster.master][INFO] 2026-04-09 01:45:48,780: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_12943_1775670347299
[rosmaster.master][INFO] 2026-04-09 01:45:48,780: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_12943_1775670347299
[rosmaster.master][INFO] 2026-04-09 01:45:48,780: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_12943_1775670347299
[rosmaster.master][INFO] 2026-04-09 01:45:48,781: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_12943_1775670347299
[rosmaster.master][INFO] 2026-04-09 01:45:48,781: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_12943_1775670347299
[rosmaster.master][INFO] 2026-04-09 01:45:48,782: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_12943_1775670347299
[rosmaster.master][INFO] 2026-04-09 01:45:48,782: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_12943_1775670347299
[rosmaster.master][INFO] 2026-04-09 01:45:48,855: publisherUpdate[/detection/bboxes_3d] -> http://z790m:41389/ ['http://z790m:36507/']
[rosmaster.master][INFO] 2026-04-09 01:45:48,856: publisherUpdate[/detection/bboxes_3d] -> http://z790m:41389/ ['http://z790m:36507/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:45:48,856: publisherUpdate[/detection/pointcloud] -> http://z790m:41389/ ['http://z790m:36507/']
[rosmaster.master][INFO] 2026-04-09 01:45:48,856: publisherUpdate[/detection/pointcloud] -> http://z790m:41389/ ['http://z790m:36507/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:01,210: +PARAM [/mctrack_online_node/config] by /mctrack_online_node
[rosmaster.master][INFO] 2026-04-09 01:46:01,211: +PUB [/rosout] /mctrack_online_node http://z790m:39043/
